Ширина,Глубина,FPR
100,1,0.992
422,1,0.692
744,1,0.502
1066,1,0.38
1388,1,0.294
1711,1,0.242
2033,1,0.198
2355,1,0.198
2677,1,0.144
3000,1,0.172
100,2,0.986
422,2,0.46
744,2,0.238
1066,2,0.126
1388,2,0.064
1711,2,0.062
2033,2,0.038
2355,2,0.04
2677,2,0.018
3000,2,0.036
100,3,0.986
422,3,0.31
744,3,0.124
1066,3,0.044
1388,3,0.016
1711,3,0.018
2033,3,0.012
2355,3,0.012
2677,3,0.002
3000,3,0.01
100,4,0.978
422,4,0.224
744,4,0.064
1066,4,0.012
1388,4,0.004
1711,4,0.002
2033,4,0.002
2355,4,0.006
2677,4,0.0
3000,4,0.002
100,5,0.968
422,5,0.16
744,5,0.026
1066,5,0.002
1388,5,0.002
1711,5,0.0
2033,5,0.0
2355,5,0.0
2677,5,0.0
3000,5,0.0
100,6,0.962
422,6,0.11
744,6,0.014
1066,6,0.0
1388,6,0.002
1711,6,0.0
2033,6,0.0
2355,6,0.0
2677,6,0.0
3000,6,0.0
100,7,0.962
422,7,0.086
744,7,0.006
1066,7,0.0
1388,7,0.0
1711,7,0.0
2033,7,0.0
2355,7,0.0
2677,7,0.0
3000,7,0.0
100,8,0.962
422,8,0.068
744,8,0.002
1066,8,0.0
1388,8,0.0
1711,8,0.0
2033,8,0.0
2355,8,0.0
2677,8,0.0
3000,8,0.0
100,9,0.962
422,9,0.054
744,9,0.0
1066,9,0.0
1388,9,0.0
1711,9,0.0
2033,9,0.0
2355,9,0.0
2677,9,0.0
3000,9,0.0
100,10,0.962
422,10,0.044
744,10,0.0
1066,10,0.0
1388,10,0.0
1711,10,0.0
2033,10,0.0
2355,10,0.0
2677,10,0.0
3000,10,0.0
