Размер фильтра;Кол-во хеш-функций;FPR
100;1;0.988
644;1;0.308
1188;1;0.306
1733;1;0.27
2277;1;0.0
2822;1;0.002
3366;1;0.002
3911;1;0.0
4455;1;0.0
5000;1;0.002
100;2;1.0
644;2;0.302
1188;2;0.108
1733;2;0.078
2277;2;0.034
2822;2;0.002
3366;2;0.0
3911;2;0.0
4455;2;0.0
5000;2;0.002
100;3;1.0
644;3;0.344
1188;3;0.068
1733;3;0.07
2277;3;0.028
2822;3;0.0
3366;3;0.0
3911;3;0.0
4455;3;0.0
5000;3;0.002
100;4;1.0
644;4;0.47
1188;4;0.074
1733;4;0.036
2277;4;0.076
2822;4;0.0
3366;4;0.0
3911;4;0.0
4455;4;0.0
5000;4;0.0
100;5;1.0
644;5;0.532
1188;5;0.134
1733;5;0.058
2277;5;0.046
2822;5;0.0
3366;5;0.014
3911;5;0.0
4455;5;0.0
5000;5;0.0
100;6;1.0
644;6;0.666
1188;6;0.284
1733;6;0.05
2277;6;0.042
2822;6;0.0
3366;6;0.006
3911;6;0.0
4455;6;0.0
5000;6;0.0
100;7;1.0
644;7;0.71
1188;7;0.338
1733;7;0.064
2277;7;0.022
2822;7;0.0
3366;7;0.006
3911;7;0.0
4455;7;0.0
5000;7;0.0
100;8;1.0
644;8;0.796
1188;8;0.332
1733;8;0.048
2277;8;0.026
2822;8;0.008
3366;8;0.012
3911;8;0.0
4455;8;0.0
5000;8;0.0
100;9;1.0
644;9;0.808
1188;9;0.288
1733;9;0.074
2277;9;0.022
2822;9;0.006
3366;9;0.012
3911;9;0.0
4455;9;0.0
5000;9;0.0
100;10;1.0
644;10;0.812
1188;10;0.312
1733;10;0.098
2277;10;0.022
2822;10;0.008
3366;10;0.0
3911;10;0.0
4455;10;0.0
5000;10;0.0
