,state1_feature1,state1_feature3,state1_feature4,state1_feature5,state2_feature1,state2_feature3,state2_feature4,state2_feature5,collision,state1_feature2_A,state1_feature2_B,state1_feature2_C,state1_feature2_D,state1_feature6_A,state1_feature6_B,state1_feature6_C,state1_feature6_D,state2_feature2_A,state2_feature2_B,state2_feature2_C,state2_feature2_D,state2_feature6_A,state2_feature6_B,state2_feature6_C,state2_feature6_D
0,0,2,1.9327630917601035,0,0,3,89.2152916869961,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
1,1,4,12.436839900051023,1,1,2,47.04733196771568,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
2,0,5,41.36426749186353,0,1,1,52.78073635588299,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
3,0,5,49.28645844474466,0,1,1,99.9707637821831,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
4,0,2,40.42897472548691,0,1,1,84.33029661521613,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
5,1,1,53.093767841209385,1,1,2,36.177000577298,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
6,0,4,59.51316749056815,1,1,3,1.0345596472699947,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
7,0,5,0.992382112783563,1,0,3,62.61740737938947,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
8,0,2,46.409515945350385,0,0,1,70.39134261281077,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
9,1,5,96.34992408875883,1,0,2,65.08026901433797,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
10,0,4,51.90322801295487,0,1,1,96.78623511632131,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
11,0,4,67.75422674589532,0,0,5,86.29710273321443,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
12,0,3,31.18638579168832,1,1,3,44.88316931806485,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
13,0,2,77.39913781527625,0,0,4,6.285748747238095,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
14,1,4,77.2921481876115,1,0,1,47.605876950199686,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
