iter	RMSE
0	3856.330757
1	3725.358077
2	3604.528392
3	3491.671775
4	3381.919774
5	3276.636051
6	3175.303118
7	3075.622681
8	2981.044708
9	2892.232338
10	2797.034783
11	2711.12176
12	2634.065732
13	2554.916341
14	2478.179602
15	2409.123671
16	2339.58144
17	2274.076596
18	2205.790283
19	2145.915376
20	2086.968799
21	2030.898469
22	1976.257417
23	1920.595908
24	1866.40166
25	1816.948561
26	1770.581597
27	1724.976543
28	1678.533044
29	1633.850157
30	1595.329382
31	1554.592003
32	1517.126993
33	1479.728565
34	1444.769157
35	1410.830325
36	1378.977775
37	1347.999256
38	1318.161329
39	1289.897016
40	1259.498087
41	1236.820097
42	1213.744007
43	1189.567453
44	1168.618333
45	1146.642789
46	1124.318523
47	1103.550152
48	1082.979307
49	1064.066861
50	1046.621773
51	1028.39794
52	1011.454734
53	995.797855
54	980.6479472
55	966.5779032
56	952.3594811
57	938.3854879
58	924.5607707
59	911.8939107
60	899.298831
61	886.8631585
62	876.2690895
63	867.6427645
64	857.5989633
65	848.6521446
66	839.7226656
67	830.7071596
68	822.8303842
69	814.1429253
70	806.6184184
71	798.3508027
72	791.2198662
73	783.9753533
74	777.5119791
75	770.456574
76	763.8086725
77	757.3933387
78	750.6526528
79	744.9617177
80	740.1103492
81	734.9099392
82	729.7648351
83	726.2299567
84	721.9982799
85	717.2012187
86	713.3599186
87	709.5273268
88	705.5012877
89	701.3864416
90	697.4013224
91	694.2766288
92	690.3818001
93	687.1086414
94	683.8580918
95	680.5584636
96	677.3760199
97	675.2626347
98	672.1569296
99	668.9947891
100	666.105323
101	663.3566894
102	660.7371228
103	658.5533441
104	656.0104611
105	653.9207677
106	652.0435867
107	649.6766636
108	647.4137711
109	644.9405112
110	642.8851772
111	640.7671696
112	638.7388093
113	636.6512982
114	634.9202307
115	632.9954107
116	631.3910018
117	629.9206394
118	628.3292963
119	627.0518337
120	625.5700885
121	624.2473017
122	622.4834516
123	621.4833825
124	619.9890933
125	618.7057033
126	617.8822253
127	616.911697
128	615.6779718
129	614.5957634
130	613.0557625
131	611.4029201
132	609.7710524
133	608.3444766
134	607.0371829
135	605.8045272
136	604.8201704
137	604.0118296
138	602.7630142
139	601.591187
140	600.5919714
141	599.6360793
142	598.6343409
143	597.3877695
144	596.9147043
145	595.9552025
146	595.2456849
147	594.4920691
148	593.7828982
149	592.8680456
150	592.4376774
151	591.5612301
152	590.5273793
153	590.0154297
154	589.3529647
155	588.4001935
156	587.857113
157	587.0986044
158	586.7343975
159	586.0909654
160	585.4856294
161	584.7668538
162	584.5751855
163	583.7346024
164	583.0343374
165	582.3985794
166	582.1232048
167	581.6755127
168	580.7211373
169	579.8857118
170	579.434012
171	578.8007336
172	578.1537822
173	577.4838796
