iter	Passed	Remaining
0	163	183418
1	170	95286
2	178	66313
3	184	51528
4	191	42635
5	198	36799
6	204	32547
7	212	29480
8	218	26971
9	225	25019
10	233	23545
11	240	22167
12	247	21077
13	254	20103
14	261	19262
15	268	18504
16	274	17842
17	281	17251
18	288	16721
19	296	16305
20	303	15863
21	310	15507
22	317	15153
23	325	14878
24	332	14562
25	340	14315
26	347	14077
27	354	13824
28	361	13607
29	368	13376
30	374	13168
31	381	12961
32	388	12797
33	395	12634
34	402	12470
35	411	12376
36	418	12263
37	426	12139
38	432	12001
39	440	11887
40	447	11773
41	454	11674
42	461	11560
43	467	11443
44	475	11353
45	482	11258
46	489	11176
47	496	11078
48	503	11001
49	509	10913
50	516	10832
51	524	10765
52	530	10685
53	538	10635
54	545	10557
55	552	10490
56	559	10429
57	566	10377
58	573	10314
59	580	10255
60	587	10205
61	594	10141
62	602	10106
63	609	10056
64	617	10018
65	624	9970
66	631	9923
67	639	9885
68	645	9835
69	654	9812
70	661	9769
71	668	9737
72	675	9684
73	682	9647
74	689	9604
75	695	9557
76	703	9526
77	709	9478
78	717	9450
79	724	9414
80	732	9391
81	738	9347
82	745	9310
83	752	9284
84	759	9248
85	766	9220
86	773	9183
87	780	9157
88	787	9128
89	795	9108
90	802	9070
91	808	9034
92	816	9011
93	822	8976
94	829	8953
95	836	8919
96	844	8902
97	852	8892
98	859	8868
99	866	8841
100	873	8809
101	880	8784
102	886	8757
103	894	8739
104	901	8712
105	907	8685
106	914	8659
107	920	8629
108	928	8612
109	935	8587
110	942	8566
111	949	8545
112	956	8520
113	963	8502
114	970	8480
115	978	8465
116	984	8440
117	992	8424
118	998	8402
119	1005	8379
120	1012	8358
121	1019	8338
122	1026	8320
123	1033	8298
124	1039	8277
125	1046	8256
126	1053	8236
127	1061	8222
128	1067	8199
129	1073	8177
130	1080	8159
131	1087	8142
132	1094	8122
133	1101	8103
134	1108	8087
135	1115	8068
136	1122	8054
137	1130	8041
138	1138	8032
139	1145	8017
140	1153	8007
141	1161	7998
142	1167	7979
143	1174	7961
144	1181	7943
145	1189	7932
146	1195	7913
147	1203	7902
148	1210	7885
149	1216	7865
150	1223	7854
151	1230	7838
152	1238	7830
153	1244	7809
154	1252	7794
155	1258	7778
156	1265	7764
157	1273	7752
158	1279	7733
159	1286	7719
160	1293	7702
161	1300	7690
162	1306	7672
163	1313	7656
164	1320	7645
165	1327	7629
166	1334	7613
167	1340	7596
168	1347	7581
169	1353	7564
170	1359	7547
171	1368	7540
172	1374	7526
173	1381	7509
174	1388	7496
175	1394	7482
176	1401	7468
177	1408	7452
178	1416	7444
179	1422	7429
180	1429	7416
181	1436	7402
182	1442	7387
183	1449	7375
184	1456	7363
185	1464	7353
