size;number_of_hash;FPR
100;1;1.0
644;1;0.452
1188;1;0.596
1733;1;0.596
2277;1;0.18
2822;1;0.002
3366;1;0.018
3911;1;0.084
4455;1;0.0
5000;1;0.002
100;2;1.0
644;2;0.564
1188;2;0.396
1733;2;0.354
2277;2;0.168
2822;2;0.006
3366;2;0.002
3911;2;0.072
4455;2;0.0
5000;2;0.002
100;3;1.0
644;3;0.618
1188;3;0.418
1733;3;0.304
2277;3;0.234
2822;3;0.012
3366;3;0.0
3911;3;0.022
4455;3;0.0
5000;3;0.028
100;4;1.0
644;4;0.752
1188;4;0.472
1733;4;0.204
2277;4;0.172
2822;4;0.012
3366;4;0.06
3911;4;0.0
4455;4;0.0
5000;4;0.012
100;5;1.0
644;5;0.878
1188;5;0.51
1733;5;0.276
2277;5;0.224
2822;5;0.032
3366;5;0.066
3911;5;0.014
4455;5;0.0
5000;5;0.016
100;6;1.0
644;6;0.994
1188;6;0.69
1733;6;0.292
2277;6;0.286
2822;6;0.02
3366;6;0.042
3911;6;0.006
4455;6;0.0
5000;6;0.004
100;7;1.0
644;7;1.0
1188;7;0.758
1733;7;0.384
2277;7;0.322
2822;7;0.034
3366;7;0.062
3911;7;0.016
4455;7;0.0
5000;7;0.004
100;8;1.0
644;8;1.0
1188;8;0.786
1733;8;0.416
2277;8;0.35
2822;8;0.042
3366;8;0.07
3911;8;0.03
4455;8;0.0
5000;8;0.006
100;9;1.0
644;9;1.0
1188;9;0.812
1733;9;0.552
2277;9;0.336
2822;9;0.092
3366;9;0.048
3911;9;0.03
4455;9;0.0
5000;9;0.012
100;10;1.0
644;10;1.0
1188;10;0.816
1733;10;0.584
2277;10;0.356
2822;10;0.132
3366;10;0.044
3911;10;0.046
4455;10;0.0
5000;10;0.014
