,state1_feature1,state1_feature3,state1_feature4,state1_feature5,state2_feature1,state2_feature3,state2_feature4,state2_feature5,collision,state1_feature2_A,state1_feature2_B,state1_feature2_C,state1_feature2_D,state1_feature6_A,state1_feature6_B,state1_feature6_C,state1_feature6_D,state2_feature2_A,state2_feature2_B,state2_feature2_C,state2_feature2_D,state2_feature6_A,state2_feature6_B,state2_feature6_C,state2_feature6_D
0,0,3,56.19813416263793,0,0,2,59.17891957709392,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
1,1,3,21.42554343431844,0,1,5,69.70065129948273,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
2,0,4,34.08830154923571,0,1,1,85.97478956615386,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
3,0,3,78.49556152865075,0,1,1,73.39004157889332,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
4,0,5,19.203365236149615,0,1,1,79.8825091552285,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
5,1,3,63.83417505810897,1,0,4,91.29318014978483,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
6,0,5,65.45661912235981,1,0,2,59.77715612220723,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
7,0,3,95.40939149023006,0,0,5,84.62800106620166,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
8,0,5,77.5160928528937,0,1,3,23.18722310251721,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
9,1,3,80.36351471536935,0,0,1,81.4733170791973,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
10,0,3,53.16007490178934,1,1,5,22.168674130648025,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
11,0,2,18.678080716237066,0,0,5,93.46292187427798,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
12,0,5,42.55633657183516,1,0,4,32.997333745766866,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
13,0,5,54.94895735118204,1,1,2,17.183799817561287,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
14,1,5,67.84192517137123,1,1,4,14.816876012920188,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
15,0,1,60.77091118319272,1,1,4,18.727221693783235,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
16,1,3,39.397782891724354,1,0,5,44.7540308563166,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
17,1,5,26.531310699584143,0,0,2,52.2149391080059,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
18,1,1,16.82308432036831,1,0,2,91.37858325239185,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
19,0,2,69.38453862722663,1,0,2,38.10148029276955,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
20,1,5,64.5398674312485,0,1,1,21.74823087870541,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
21,0,5,68.73724657578066,0,0,2,74.38211118393816,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
22,1,1,37.252745280279484,1,1,5,13.465440792860594,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
23,1,3,26.240782257074503,0,0,1,89.2283372015188,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
24,1,2,75.97213286809253,0,1,3,40.9399635208804,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
25,1,5,77.36473950553341,0,1,4,61.38414836549797,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
26,1,3,45.56163739668406,1,0,2,18.61843426165226,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
27,1,2,61.190408476732415,1,0,3,14.552914907983672,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
28,1,4,37.35196642317412,0,1,2,79.88393747548555,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
29,1,4,70.19472001198068,0,0,4,42.970229191455985,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
30,0,2,83.57215966478712,1,1,5,98.67428127262102,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
31,0,1,68.82332773356494,1,0,5,52.42979444524516,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
32,1,2,51.25826268471365,0,0,4,84.56529107576897,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
33,1,2,45.86579594923703,1,0,3,97.99636787214352,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
34,1,1,64.23196509757443,1,0,1,28.11501615085016,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
35,0,1,67.98108916013302,0,0,1,80.0881712155366,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
36,1,3,55.8729443524539,0,1,2,2.2006163324646,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
37,0,3,62.4942275107395,1,0,4,67.97541180610288,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
38,0,1,9.658868249453223,1,1,4,74.52010911178493,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
39,0,4,95.17655161423268,1,1,1,47.73637124355024,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
40,0,4,79.0773063732034,0,1,3,16.210521011750203,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
41,0,2,37.39278697067838,0,0,4,61.67205480784498,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
42,1,5,56.281261095363,0,1,5,89.75286594355575,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
43,1,2,4.732453013642135,0,1,5,93.1319199578269,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
44,1,2,4.122781399906039,1,1,4,74.61023904196028,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
45,1,5,25.07983351119627,0,1,3,26.3713258425602,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
46,1,1,68.97016423646232,0,1,5,87.032692605992,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
47,0,4,85.21477478000116,1,1,3,88.8823066701695,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
48,1,2,55.91858799798484,0,0,1,36.72422057452206,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
49,1,5,53.21327395823524,1,1,2,18.298173654368068,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
50,0,3,40.2309533791466,0,1,1,87.46594341333682,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
51,1,2,16.159795595802116,1,0,2,88.50973152528144,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
52,0,4,11.835410132658753,1,1,5,10.090608455121409,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
53,1,1,76.06797612209661,1,0,2,96.69842922224883,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
54,0,2,92.75035512965756,0,0,2,53.308055307879776,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
55,1,2,45.828321638627315,1,1,4,99.37301949429363,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
56,1,5,65.94456587156382,0,1,2,44.50082502166814,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
57,0,3,91.44576508809412,0,0,4,53.32833393595481,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
58,0,3,9.011363293414455,0,0,2,26.60828319712456,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
59,0,1,77.04814531190299,0,0,4,89.89474455153695,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
60,0,4,61.68168843755751,0,0,5,44.37121170725773,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
61,0,1,59.86371788298614,0,1,5,81.46140536273838,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
62,0,2,29.25404284815698,1,0,2,7.9734275095082685,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
63,0,2,68.38933547776769,1,0,3,78.82466284948126,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
64,0,3,79.47977548207766,0,0,5,49.02431422514749,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
65,1,4,11.285816494369715,0,1,1,0.5407879733105969,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
66,1,5,53.35214309809838,0,0,1,22.626293899879492,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
67,0,4,10.126518098740966,0,0,4,19.373021144311696,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
68,1,2,87.25740192976446,0,1,3,75.17645813094398,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
69,1,5,50.76367226563473,1,1,4,47.72021897932186,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
70,1,4,80.79656892607574,1,0,2,15.971839668709741,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
71,1,4,36.808563766621425,0,0,5,25.680297704525255,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
72,0,5,12.507822681632542,0,0,3,50.407680530588486,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
73,1,2,4.149930438571148,1,1,4,1.9638197319673867,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
74,0,4,28.15096207723755,0,1,4,42.41255880993737,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
75,1,5,24.423370036407853,0,0,1,67.806140365374,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
76,1,2,56.035197401996186,0,0,2,51.77545852858788,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
77,1,5,2.1738838063707355,1,0,4,59.80995410754988,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
78,0,5,52.057054429917336,1,1,1,32.66181170116498,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
79,1,4,39.177174201200316,0,0,3,18.30757240197558,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
80,0,2,57.71222699144422,1,0,4,80.9741290355181,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
81,1,4,70.24175281503646,1,1,1,90.56348714363605,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
82,0,1,63.4091945079839,0,0,2,51.07405703748936,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
83,1,1,98.46443693733663,1,1,5,30.504121258139083,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
