id,name,description,employer,salary_from,salary_to,salary_currency,experience,employment,description_tokens
127075950,Ручной тестировщик,привет компания skif приглашать тестировщик опыт год компания разрабатывать продукт мониторинг транспорт удалённый управление входной группа условие будущее сотрудник важно работа офис гибрид москва удалённый работа зарплатный вилка руб net результат собеседование опыт год опыт работа область тестирование опыт руководство направление тестирование координация работа команда знание навык глубокий понимание жизненный цикл разработка sdlc тестирование stlc умение выстраивать эффективный процесс контроль качество этап экспертный владение различный вид тестирование функциональный регрессионный интеграционный нагрузочный безопасность usability smoke sanity exploratory опыт работа современный система управление задача тест jira testrail gitlab redmine опыт интеграция настройка этот система процесс команда умение разрабатывать комплексный тестовый документация тест план чек лист тест кейс баг репорт отчёт акцент масштабируемость повторный использование глубокий знание практический применение тест дизайн включая техника эквивалентный разбиение граничный значение попарный тестирование ортогональный массив понимание анализ архитектура распределённый клиент серверный система взаимодействие микросервис брокер сообщение api шлюз опыт тестирование веб приложение backend сервис rest grpc api также мобильный приложение ios android уверенный работа инструмент разработчик devtools профилирование производительность навык тестирование api использование postman newman аналог отличный знание формат данные json xml protobuf принцип сериализация опыт автоматизация тестирование api участие разработка поддержка автотест cypress playwright selenium junit testng опыт построение пайплайн тест интеграция тест процесс деплоить навык анализ лог метрика мониторинг kibana grafana sentry больший плюс знание javascript typescript python уровень написание ревить автотест опыт работа контейнер docker виртуальный окружение jenkins agents опыт внедрение метрика работа качество метрика продукт участие менторство младший тестировщик проведение ревить тестовый документация автотест этап первичный собеседование технический собеседование успешный прохождение оффера,Свистунова Екатерина Александровна,180000.0,230000.0,RUR,Более 6 лет,Полная занятость,"['привет', 'компания', 'skif', 'приглашать', 'тестировщик', 'опыт', 'год', 'компания', 'разрабатывать', 'продукт', 'мониторинг', 'транспорт', 'удалённый', 'управление', 'входной', 'группа', 'условие', 'будущее', 'сотрудник', 'важно', 'работа', 'офис', 'гибрид', 'москва', 'удалённый', 'работа', 'зарплатный', 'вилка', 'руб', 'net', 'результат', 'собеседование', 'опыт', 'год', 'опыт', 'работа', 'область', 'тестирование', 'опыт', 'руководство', 'направление', 'тестирование', 'координация', 'работа', 'команда', 'знание', 'навык', 'глубокий', 'понимание', 'жизненный', 'цикл', 'разработка', 'sdlc', 'тестирование', 'stlc', 'умение', 'выстраивать', 'эффективный', 'процесс', 'контроль', 'качество', 'этап', 'экспертный', 'владение', 'различный', 'вид', 'тестирование', 'функциональный', 'регрессионный', 'интеграционный', 'нагрузочный', 'безопасность', 'usability', 'smoke', 'sanity', 'exploratory', 'опыт', 'работа', 'современный', 'система', 'управление', 'задача', 'тест', 'jira', 'testrail', 'gitlab', 'redmine', 'опыт', 'интеграция', 'настройка', 'этот', 'система', 'процесс', 'команда', 'умение', 'разрабатывать', 'комплексный', 'тестовый', 'документация', 'тест', 'план', 'чек', 'лист', 'тест', 'кейс', 'баг', 'репорт', 'отчёт', 'акцент', 'масштабируемость', 'повторный', 'использование', 'глубокий', 'знание', 'практический', 'применение', 'тест', 'дизайн', 'включая', 'техника', 'эквивалентный', 'разбиение', 'граничный', 'значение', 'попарный', 'тестирование', 'ортогональный', 'массив', 'понимание', 'анализ', 'архитектура', 'распределённый', 'клиент', 'серверный', 'система', 'взаимодействие', 'микросервис', 'брокер', 'сообщение', 'api', 'шлюз', 'опыт', 'тестирование', 'веб', 'приложение', 'backend', 'сервис', 'rest', 'grpc', 'api', 'также', 'мобильный', 'приложение', 'ios', 'android', 'уверенный', 'работа', 'инструмент', 'разработчик', 'devtools', 'профилирование', 'производительность', 'навык', 'тестирование', 'api', 'использование', 'postman', 'newman', 'аналог', 'отличный', 'знание', 'формат', 'данные', 'json', 'xml', 'protobuf', 'принцип', 'сериализация', 'опыт', 'автоматизация', 'тестирование', 'api', 'участие', 'разработка', 'поддержка', 'автотест', 'cypress', 'playwright', 'selenium', 'junit', 'testng', 'опыт', 'построение', 'пайплайн', 'тест', 'интеграция', 'тест', 'процесс', 'деплоить', 'навык', 'анализ', 'лог', 'метрика', 'мониторинг', 'kibana', 'grafana', 'sentry', 'больший', 'плюс', 'знание', 'javascript', 'typescript', 'python', 'уровень', 'написание', 'ревить', 'автотест', 'опыт', 'работа', 'контейнер', 'docker', 'виртуальный', 'окружение', 'jenkins', 'agents', 'опыт', 'внедрение', 'метрика', 'работа', 'качество', 'метрика', 'продукт', 'участие', 'менторство', 'младший', 'тестировщик', 'проведение', 'ревить', 'тестовый', 'документация', 'автотест', 'этап', 'первичный', 'собеседование', 'технический', 'собеседование', 'успешный', 'прохождение', 'оффера']"
126973641,Программист (Junior - младший разработчик),наш команда требоваться программист требование знание один объектный ориентировать язык программирование пример delphi python pascal знание работа субд postgresql sql server другой знание язык sql запрос дополнительный преимущество являться опыт разработка приложение база данные знание язык программирование javascript php html знание учёт предприятие управление проект документооборот производство склад бухгалтерия управление персонал торо бюджетирование автоматизация отель pms обязанность участие интересный проект доработка разработка программный комплекс дополнительно тестирование информационный система настройка информационный система автоматизация бизнес процесс участие внедрение условие офис минута метро часовой рабочий день удобный офис удалённый оформление согласно аккредитовать минцифра компания оплачивать отпуск больничный заработный плата результат собеседование оклад премия бонус результат запуск проект,ПТМК,50000.0,70000.0,RUR,Нет опыта,Полная занятость,"['наш', 'команда', 'требоваться', 'программист', 'требование', 'знание', 'один', 'объектный', 'ориентировать', 'язык', 'программирование', 'пример', 'delphi', 'python', 'pascal', 'знание', 'работа', 'субд', 'postgresql', 'sql', 'server', 'другой', 'знание', 'язык', 'sql', 'запрос', 'дополнительный', 'преимущество', 'являться', 'опыт', 'разработка', 'приложение', 'база', 'данные', 'знание', 'язык', 'программирование', 'javascript', 'php', 'html', 'знание', 'учёт', 'предприятие', 'управление', 'проект', 'документооборот', 'производство', 'склад', 'бухгалтерия', 'управление', 'персонал', 'торо', 'бюджетирование', 'автоматизация', 'отель', 'pms', 'обязанность', 'участие', 'интересный', 'проект', 'доработка', 'разработка', 'программный', 'комплекс', 'дополнительно', 'тестирование', 'информационный', 'система', 'настройка', 'информационный', 'система', 'автоматизация', 'бизнес', 'процесс', 'участие', 'внедрение', 'условие', 'офис', 'минута', 'метро', 'часовой', 'рабочий', 'день', 'удобный', 'офис', 'удалённый', 'оформление', 'согласно', 'аккредитовать', 'минцифра', 'компания', 'оплачивать', 'отпуск', 'больничный', 'заработный', 'плата', 'результат', 'собеседование', 'оклад', 'премия', 'бонус', 'результат', 'запуск', 'проект']"
126443956,Junior\Middle Backend Python разработчик (FastAPI),технологический команда внутри один топ экспедиторский компания россия создавать продукт автоматизация логистический транспортный процесс помогать сокращать издержка повышать рентабельность делать бизнес прозрачный управляемый наш миссия построить компания который пережить ядерный апокалипсис остаться надёжный опора экономика предстоять заниматься разработка backend часть python fastapi создание поддержка rest api работа sqlalchemy pydantic httpx работа postgresql написание юнит интеграционный тест взаимодействие frontend разработчик аналитик работа git плюс понимать начинать карьера поэтому ждать сразу выделить уверенный знание python опыт работа fastapi подойти pet проект учебный знание async python async await опыт работа docker redis celery mongodb selenium aiogram telebot базовый знание html прохождение курс поколение python степик очень больший плюс предлагать наставничество опытный разработчик участие реальный проект quot тестовый задачка quot прокачка архитектурный системный мышление открытый честной команда перспектива карьерный профессиональный рост внутри компания готовый присоединиться откликаться вакансия звонить мы напрямую быть рада видеть команда,АЛТ,50000.0,70000.0,RUR,От 1 года до 3 лет,Полная занятость,"['технологический', 'команда', 'внутри', 'один', 'топ', 'экспедиторский', 'компания', 'россия', 'создавать', 'продукт', 'автоматизация', 'логистический', 'транспортный', 'процесс', 'помогать', 'сокращать', 'издержка', 'повышать', 'рентабельность', 'делать', 'бизнес', 'прозрачный', 'управляемый', 'наш', 'миссия', 'построить', 'компания', 'который', 'пережить', 'ядерный', 'апокалипсис', 'остаться', 'надёжный', 'опора', 'экономика', 'предстоять', 'заниматься', 'разработка', 'backend', 'часть', 'python', 'fastapi', 'создание', 'поддержка', 'rest', 'api', 'работа', 'sqlalchemy', 'pydantic', 'httpx', 'работа', 'postgresql', 'написание', 'юнит', 'интеграционный', 'тест', 'взаимодействие', 'frontend', 'разработчик', 'аналитик', 'работа', 'git', 'плюс', 'понимать', 'начинать', 'карьера', 'поэтому', 'ждать', 'сразу', 'выделить', 'уверенный', 'знание', 'python', 'опыт', 'работа', 'fastapi', 'подойти', 'pet', 'проект', 'учебный', 'знание', 'async', 'python', 'async', 'await', 'опыт', 'работа', 'docker', 'redis', 'celery', 'mongodb', 'selenium', 'aiogram', 'telebot', 'базовый', 'знание', 'html', 'прохождение', 'курс', 'поколение', 'python', 'степик', 'очень', 'больший', 'плюс', 'предлагать', 'наставничество', 'опытный', 'разработчик', 'участие', 'реальный', 'проект', 'quot', 'тестовый', 'задачка', 'quot', 'прокачка', 'архитектурный', 'системный', 'мышление', 'открытый', 'честной', 'команда', 'перспектива', 'карьерный', 'профессиональный', 'рост', 'внутри', 'компания', 'готовый', 'присоединиться', 'откликаться', 'вакансия', 'звонить', 'мы', 'напрямую', 'быть', 'рада', 'видеть', 'команда']"
127050528,Аналитик данных,почему стоить присоединиться влияние бизнес твой отчёт аналитика быть основа стратегический решение минимум рутина акцент автоматизация масштабировать решение современный стек работа передовой инструмент big data ждать работа клиентский данные сбор хранение глубокий анализ прогнозирование автоматизация отчётность создание интуитивный дашбордовый power tableau бизнес принимать решение основа актуальный данные разработка команда быть мост бизнес разработчик превращать запрос чёткий технический спецификация оптимизация sql запрос работа больший массив данные работать быстро сбой ждать высокий образование математика экономика смежный область опыт автоматизация отчёт создание дашбордовый визуализация данные power tableau глубокий знание sql оптимизация сложный запрос уверенный excel powerpoint умение переводить бизнес задача технический требование контролировать реализация опыт работа python ваш преимущество условие стабильный оклад квартальный премия размер один оклад работа крупный прогрессивный компания официальный оформление график работа бесплатный полис дмс социальный программа самый выгодный условие группа компания кредит автокредит страхование другой банковский страховой продукт возможность стать часть профессиональный команда единомышленник,Совкомбанк Страхование,135000.0,135000.0,RUR,От 1 года до 3 лет,Полная занятость,"['почему', 'стоить', 'присоединиться', 'влияние', 'бизнес', 'твой', 'отчёт', 'аналитика', 'быть', 'основа', 'стратегический', 'решение', 'минимум', 'рутина', 'акцент', 'автоматизация', 'масштабировать', 'решение', 'современный', 'стек', 'работа', 'передовой', 'инструмент', 'big', 'data', 'ждать', 'работа', 'клиентский', 'данные', 'сбор', 'хранение', 'глубокий', 'анализ', 'прогнозирование', 'автоматизация', 'отчётность', 'создание', 'интуитивный', 'дашбордовый', 'power', 'tableau', 'бизнес', 'принимать', 'решение', 'основа', 'актуальный', 'данные', 'разработка', 'команда', 'быть', 'мост', 'бизнес', 'разработчик', 'превращать', 'запрос', 'чёткий', 'технический', 'спецификация', 'оптимизация', 'sql', 'запрос', 'работа', 'больший', 'массив', 'данные', 'работать', 'быстро', 'сбой', 'ждать', 'высокий', 'образование', 'математика', 'экономика', 'смежный', 'область', 'опыт', 'автоматизация', 'отчёт', 'создание', 'дашбордовый', 'визуализация', 'данные', 'power', 'tableau', 'глубокий', 'знание', 'sql', 'оптимизация', 'сложный', 'запрос', 'уверенный', 'excel', 'powerpoint', 'умение', 'переводить', 'бизнес', 'задача', 'технический', 'требование', 'контролировать', 'реализация', 'опыт', 'работа', 'python', 'ваш', 'преимущество', 'условие', 'стабильный', 'оклад', 'квартальный', 'премия', 'размер', 'один', 'оклад', 'работа', 'крупный', 'прогрессивный', 'компания', 'официальный', 'оформление', 'график', 'работа', 'бесплатный', 'полис', 'дмс', 'социальный', 'программа', 'самый', 'выгодный', 'условие', 'группа', 'компания', 'кредит', 'автокредит', 'страхование', 'другой', 'банковский', 'страховой', 'продукт', 'возможность', 'стать', 'часть', 'профессиональный', 'команда', 'единомышленник']"
126963102,Стажер-исследователь/аналитик,институт статистический исследование экономика знание требоваться стажёр исследователь аналитик работа предполагать выполнение прикладной проект госзадание коммерческий проект бизнес обязанность поиск сбор статистический данные задача проект построение прогнозный модель excel руководство сотрудник исиэз написание аналитический текст визуализация результат исследование подготовка презентация инфографик иллюстрация требование высокий образование экономика статистика финансы возможность совмещение учёба последний курс бакалавриат магистратура аспирантура умение работать статистический данные поиск открытый источник сбор анализ способность систематизировать информация знание excel уровень продвинуть пользователь продвинуть навык создание презентация powerpoint сложный визуализация инфографик схема построение диаграмма опыт работа инструмент навык написание аналитический текст владение английский язык ниже уровень наличие опубликовать научный работа релевантный направление рассматриваться преимущество навык анализ данные помощь python рассматриваться преимущество условие зарплата устанавливаться результат собеседование оформление соответствие срок проведение стажировка составлять месяц окончание стажировка контракт продлить возможность профессиональный карьерный развитие экспертный трек также научный образовательный трек программа бесплатный обучение проектный управление язык программирование иностранный язык проч,Национальный исследовательский университет Высшая школа экономики,50000.0,100000.0,RUR,Нет опыта,Полная занятость,"['институт', 'статистический', 'исследование', 'экономика', 'знание', 'требоваться', 'стажёр', 'исследователь', 'аналитик', 'работа', 'предполагать', 'выполнение', 'прикладной', 'проект', 'госзадание', 'коммерческий', 'проект', 'бизнес', 'обязанность', 'поиск', 'сбор', 'статистический', 'данные', 'задача', 'проект', 'построение', 'прогнозный', 'модель', 'excel', 'руководство', 'сотрудник', 'исиэз', 'написание', 'аналитический', 'текст', 'визуализация', 'результат', 'исследование', 'подготовка', 'презентация', 'инфографик', 'иллюстрация', 'требование', 'высокий', 'образование', 'экономика', 'статистика', 'финансы', 'возможность', 'совмещение', 'учёба', 'последний', 'курс', 'бакалавриат', 'магистратура', 'аспирантура', 'умение', 'работать', 'статистический', 'данные', 'поиск', 'открытый', 'источник', 'сбор', 'анализ', 'способность', 'систематизировать', 'информация', 'знание', 'excel', 'уровень', 'продвинуть', 'пользователь', 'продвинуть', 'навык', 'создание', 'презентация', 'powerpoint', 'сложный', 'визуализация', 'инфографик', 'схема', 'построение', 'диаграмма', 'опыт', 'работа', 'инструмент', 'навык', 'написание', 'аналитический', 'текст', 'владение', 'английский', 'язык', 'ниже', 'уровень', 'наличие', 'опубликовать', 'научный', 'работа', 'релевантный', 'направление', 'рассматриваться', 'преимущество', 'навык', 'анализ', 'данные', 'помощь', 'python', 'рассматриваться', 'преимущество', 'условие', 'зарплата', 'устанавливаться', 'результат', 'собеседование', 'оформление', 'соответствие', 'срок', 'проведение', 'стажировка', 'составлять', 'месяц', 'окончание', 'стажировка', 'контракт', 'продлить', 'возможность', 'профессиональный', 'карьерный', 'развитие', 'экспертный', 'трек', 'также', 'научный', 'образовательный', 'трек', 'программа', 'бесплатный', 'обучение', 'проектный', 'управление', 'язык', 'программирование', 'иностранный', 'язык', 'проч']"
126967394,Python-разработчик,задача разработка оптимизация python приложение система данные создание архитектурный решение масштабировать анализ производительность рефакторинг улучшение код взаимодействие технический бизнес команда требование год разработка опыт linux опыт проектирование архитектура работа sql nosql опыт хранилище данные вычислительный система условие гибридный формат работа официальный оформление первый рабочий день оплата обучение транспорт питание,Offer Now,,600000.0,RUR,Более 6 лет,Полная занятость,"['задача', 'разработка', 'оптимизация', 'python', 'приложение', 'система', 'данные', 'создание', 'архитектурный', 'решение', 'масштабировать', 'анализ', 'производительность', 'рефакторинг', 'улучшение', 'код', 'взаимодействие', 'технический', 'бизнес', 'команда', 'требование', 'год', 'разработка', 'опыт', 'linux', 'опыт', 'проектирование', 'архитектура', 'работа', 'sql', 'nosql', 'опыт', 'хранилище', 'данные', 'вычислительный', 'система', 'условие', 'гибридный', 'формат', 'работа', 'официальный', 'оформление', 'первый', 'рабочий', 'день', 'оплата', 'обучение', 'транспорт', 'питание']"
127009263,Middle Backend Разработчик (Python),inline telecom solutions специализировать системный интегратор решение телекоммуникационный компания делать комплексный проект ключ российский оператор связь корпоративный заказчик являться эксперт область построение сетевой инфраструктура информационный безопасность система хранение обработка данные разработка программный обеспечение среди наш постоянный клиент ростелеком мтс вымпелком мегафон тело сбербанк многие другой объявлять конкурс позиция middle backend разработчик задача развитие поддержка один основный решение компания портал аналог сервис downdetector сервис позволять фиксировать отображать проблема популярный интернет сервис провайдер визуализировать интернет маршрут отображать аналитик смежный система заказчик расширение функциональность интеграция корпоративный сетевой сервис автоматизация тест доступность интернет сервис развитие решение соответствие роадмап требование опыт коммерческий разработка python год опыт проектирование разработка внедрение серверный приложение работа микросервисный архитектура монолит составление сложный запрос субд понимание устройство основный сетевой протокол osi приветствоваться работа опыт работа семейство linux сборка проект docker условие заработать плата net fix зависимость уровень квалификация возможный гибкий график работа час неделя современный офис пеший доступность метро марьин роща отпуск календарный день оплачивать персональный день оформление соответствие оплачивать больничный дмс возможность профессиональный рост,Inline Telecom Solutions,220000.0,250000.0,RUR,От 1 года до 3 лет,Полная занятость,"['inline', 'telecom', 'solutions', 'специализировать', 'системный', 'интегратор', 'решение', 'телекоммуникационный', 'компания', 'делать', 'комплексный', 'проект', 'ключ', 'российский', 'оператор', 'связь', 'корпоративный', 'заказчик', 'являться', 'эксперт', 'область', 'построение', 'сетевой', 'инфраструктура', 'информационный', 'безопасность', 'система', 'хранение', 'обработка', 'данные', 'разработка', 'программный', 'обеспечение', 'среди', 'наш', 'постоянный', 'клиент', 'ростелеком', 'мтс', 'вымпелком', 'мегафон', 'тело', 'сбербанк', 'многие', 'другой', 'объявлять', 'конкурс', 'позиция', 'middle', 'backend', 'разработчик', 'задача', 'развитие', 'поддержка', 'один', 'основный', 'решение', 'компания', 'портал', 'аналог', 'сервис', 'downdetector', 'сервис', 'позволять', 'фиксировать', 'отображать', 'проблема', 'популярный', 'интернет', 'сервис', 'провайдер', 'визуализировать', 'интернет', 'маршрут', 'отображать', 'аналитик', 'смежный', 'система', 'заказчик', 'расширение', 'функциональность', 'интеграция', 'корпоративный', 'сетевой', 'сервис', 'автоматизация', 'тест', 'доступность', 'интернет', 'сервис', 'развитие', 'решение', 'соответствие', 'роадмап', 'требование', 'опыт', 'коммерческий', 'разработка', 'python', 'год', 'опыт', 'проектирование', 'разработка', 'внедрение', 'серверный', 'приложение', 'работа', 'микросервисный', 'архитектура', 'монолит', 'составление', 'сложный', 'запрос', 'субд', 'понимание', 'устройство', 'основный', 'сетевой', 'протокол', 'osi', 'приветствоваться', 'работа', 'опыт', 'работа', 'семейство', 'linux', 'сборка', 'проект', 'docker', 'условие', 'заработать', 'плата', 'net', 'fix', 'зависимость', 'уровень', 'квалификация', 'возможный', 'гибкий', 'график', 'работа', 'час', 'неделя', 'современный', 'офис', 'пеший', 'доступность', 'метро', 'марьин', 'роща', 'отпуск', 'календарный', 'день', 'оплачивать', 'персональный', 'день', 'оформление', 'соответствие', 'оплачивать', 'больничный', 'дмс', 'возможность', 'профессиональный', 'рост']"
127065990,Python-разработчик,искать python разработчик разработка внедрение система сигнал ранний предупреждение система сигнал ранний предупреждение комплекс мероприятие осуществлять периодический основа цель выявление фактор риск оперативный предотвращение дефолт заёмщик стэк проект fastapi postgresql redis celery rabbitmq peewee docker обязанность разработка тестирование бэкенд включая написание юнит тест интеграция банковский система контроль качество код ревить коллега анализ требование ведение документация confluence участие принятие архитектурный решение оказание поддержка внедрение сопровождение сервис требование опыт коммерческий разработка python год знание python sql опыт работа postgresql навык использование orm sqlalchemy peewee опыт работа celery rabbitmq redis опыт работа unix подобный система опыт работа docker docker compose навык работа git английский технический документация знание базовый паттерн проектирование solid структура данные алгоритм умение коммуницировать работать команда предлагать официальный трудоустройство оклад премия итог полугодие год корпоративный обучение тренинг выездной обучение офлайн онлайн встреча эксперт регулярный основа дмс оплата занятие спорт испытательный срок график работа пятница сократить день офис город академгородок,Экспобанк,168000.0,,RUR,От 1 года до 3 лет,Полная занятость,"['искать', 'python', 'разработчик', 'разработка', 'внедрение', 'система', 'сигнал', 'ранний', 'предупреждение', 'система', 'сигнал', 'ранний', 'предупреждение', 'комплекс', 'мероприятие', 'осуществлять', 'периодический', 'основа', 'цель', 'выявление', 'фактор', 'риск', 'оперативный', 'предотвращение', 'дефолт', 'заёмщик', 'стэк', 'проект', 'fastapi', 'postgresql', 'redis', 'celery', 'rabbitmq', 'peewee', 'docker', 'обязанность', 'разработка', 'тестирование', 'бэкенд', 'включая', 'написание', 'юнит', 'тест', 'интеграция', 'банковский', 'система', 'контроль', 'качество', 'код', 'ревить', 'коллега', 'анализ', 'требование', 'ведение', 'документация', 'confluence', 'участие', 'принятие', 'архитектурный', 'решение', 'оказание', 'поддержка', 'внедрение', 'сопровождение', 'сервис', 'требование', 'опыт', 'коммерческий', 'разработка', 'python', 'год', 'знание', 'python', 'sql', 'опыт', 'работа', 'postgresql', 'навык', 'использование', 'orm', 'sqlalchemy', 'peewee', 'опыт', 'работа', 'celery', 'rabbitmq', 'redis', 'опыт', 'работа', 'unix', 'подобный', 'система', 'опыт', 'работа', 'docker', 'docker', 'compose', 'навык', 'работа', 'git', 'английский', 'технический', 'документация', 'знание', 'базовый', 'паттерн', 'проектирование', 'solid', 'структура', 'данные', 'алгоритм', 'умение', 'коммуницировать', 'работать', 'команда', 'предлагать', 'официальный', 'трудоустройство', 'оклад', 'премия', 'итог', 'полугодие', 'год', 'корпоративный', 'обучение', 'тренинг', 'выездной', 'обучение', 'офлайн', 'онлайн', 'встреча', 'эксперт', 'регулярный', 'основа', 'дмс', 'оплата', 'занятие', 'спорт', 'испытательный', 'срок', 'график', 'работа', 'пятница', 'сократить', 'день', 'офис', 'город', 'академгородок']"
126769780,Java-разработчик (middle),привет компания сrocomobi работать российский международный рынок год заниматься разработка цифровой сервис банк торговый сеть онлайн маркетплейс компания реальный сектор нефтегазовый промышленность металлургия искать java разработчик middle работа проект сфера телек предстоять разрабатывать новый функционал рефакторить существующий самостоятельно разрабатывать код тест участвовать тестирование участвовать оценка декомпозиция задача подключаться решение проблема разработка разбор инцидент требование кандидат опыт коммерческий разработка java год высокий технический образование требовать знание навык уверенный знание java groovy знание принцип ооп умение писать sql запрос средний сложность опыт работа linux опыт работа kafka rabbitmq понимание работа swagger опыт работа jira confluence понимание принцип rest протокол http плюс опыт работа система контейнеризация опыт желание писать код python готовый предложить удалённый работа график работа оформление выбор самозанятость развитие сфера анализ бизнес процесс изучение специфика различный отрасль работа масштабный проект предусмотреть система повышение присоединяться мы вместе смочь,Крокодил,140000.0,,RUR,От 1 года до 3 лет,Полная занятость,"['привет', 'компания', 'сrocomobi', 'работать', 'российский', 'международный', 'рынок', 'год', 'заниматься', 'разработка', 'цифровой', 'сервис', 'банк', 'торговый', 'сеть', 'онлайн', 'маркетплейс', 'компания', 'реальный', 'сектор', 'нефтегазовый', 'промышленность', 'металлургия', 'искать', 'java', 'разработчик', 'middle', 'работа', 'проект', 'сфера', 'телек', 'предстоять', 'разрабатывать', 'новый', 'функционал', 'рефакторить', 'существующий', 'самостоятельно', 'разрабатывать', 'код', 'тест', 'участвовать', 'тестирование', 'участвовать', 'оценка', 'декомпозиция', 'задача', 'подключаться', 'решение', 'проблема', 'разработка', 'разбор', 'инцидент', 'требование', 'кандидат', 'опыт', 'коммерческий', 'разработка', 'java', 'год', 'высокий', 'технический', 'образование', 'требовать', 'знание', 'навык', 'уверенный', 'знание', 'java', 'groovy', 'знание', 'принцип', 'ооп', 'умение', 'писать', 'sql', 'запрос', 'средний', 'сложность', 'опыт', 'работа', 'linux', 'опыт', 'работа', 'kafka', 'rabbitmq', 'понимание', 'работа', 'swagger', 'опыт', 'работа', 'jira', 'confluence', 'понимание', 'принцип', 'rest', 'протокол', 'http', 'плюс', 'опыт', 'работа', 'система', 'контейнеризация', 'опыт', 'желание', 'писать', 'код', 'python', 'готовый', 'предложить', 'удалённый', 'работа', 'график', 'работа', 'оформление', 'выбор', 'самозанятость', 'развитие', 'сфера', 'анализ', 'бизнес', 'процесс', 'изучение', 'специфика', 'различный', 'отрасль', 'работа', 'масштабный', 'проект', 'предусмотреть', 'система', 'повышение', 'присоединяться', 'мы', 'вместе', 'смочь']"
