public_petition_text,reason_category
"На газоне разбросан различный мусор. 
Просьба вывезти на утилизацию. 
Координаты 60.064334, 30.314389",Благоустройство
"Конструкции, препятствующие парковке",Благоустройство
Лестницу убирают раз в три месяца и просто выливают ведро воды это не уборка,Содержание МКД
мусор с задней стороны дома,Благоустройство
"Снова не работает уличный фонарь у входной двери в парадную.
ХЭУ ранее (07 апреля 2021) отчитался о проведенном ремонте",Содержание МКД
объявление,Благоустройство
"Просьба навести уборку в парадной и на лестничной клетке , не убирались больше двух недель вообще !!!!график заполнили еще в сентябре.",Содержание МКД
"Неисправно освещение в подъезде 6, 8 и 9 этаж",Содержание МКД
"Просьба закрасить рисунок на пятом этаже, заменить сломанную ручку на пятом этаже, также на четвертом этаже отваливается штукатурка",Содержание МКД
"Просьба убрать мусор с территории дома, газона и второго двора по 16-й линии, д.75, лит. Б. По возможность прибрать и небольшие камни",Благоустройство
Ветки на газоне,Благоустройство
"парадная #4 (вход с ул Кирилловская).
прошу зафиксировать малую сторону парадной двери (отремонтировать механизм запирания)",Содержание МКД
"Кто-то хранит вещи на лестничной площадке перед входом на чердак. На чердак не попасть - мешают вещи и мусор. 
Просьба выкинуть их.
P.S. Заявление в полицию написали на возможное незаконное проживание там.
Адрес: Искровский проспект, д. 3, корп. 2, лит. д (парадная 6, этаж 14, вход на чердак)",Содержание МКД
Прошу убрать надписи,Благоустройство
"Прошу оборудовать съезд с дорожки для обеспечения доступности объекта для маломобильных групп населения
Примеры простого и быстрого решения представлены в сообщениях проблем №№ 2332944, 2412690, 2482219 и 2482225.",Благоустройство
мусор на газоне,Благоустройство
объявления на знаках,Благоустройство
"не работает лифт (лестница №9),  с начала года ломался уже несколько раз!!! почините уже наконец, пожалуйста.",Содержание МКД
Возле 1 подъезда неисправно освещение.,Содержание МКД
неудовлетворительное состояние покрытия               возле люка,Повреждения или неисправность элементов уличной инфраструктуры
не очищена дорога,Благоустройство
Убрать с дорожного ограждения всю рекламу.,Благоустройство
Установлена незаконная конструкция.,Незаконная информационная и (или) рекламная конструкция
Грязь 1 этаж,Содержание МКД
"Очистите
От торговли елками остался мусор.",Благоустройство
несанкционированная торговля,"Незаконная реализация товаров с торгового оборудования (прилавок, ящик, с земли)"
В результате вспучивания асфальта не открывается дверь в парадную № 1,Содержание МКД
наледь на крыше,Кровля
Незаконная решетка. Повторное нарушение.,Нарушение правил пользования общим имуществом
Плохое дорожно-пешеходное покрытие,Благоустройство
Мусор,Благоустройство
объявления на знаках,Благоустройство
Нет заглушек,Содержание МКД
