,Ритм магического ядра,Поток Энергий,Пламя Стихий,Печать Чародея,Эмульсия Истока,Дыхание Истока,Тип Вектора Мощи,Общая сила потоков,Общая сила ядра,Общее давление,Магическая производительность,Эффективность ядра,Магическая мощность
9653,241.5721387792564,8790.141,772.24,34.254,0.678,0.991,Выше среднего,30253.638,7189575.298069827,15.862,13.657699115044245,10604093.359984996,389.7407606400001
2269,141.59105729851638,6838.435,517.051,16.754,0.156,0.959,Слабый,3199.818,446354.480848989,7.672000000000001,19.786153846153848,2861246.6721089035,-262.04516956799995
11461,201.51662300647635,8471.841,682.64,23.849,0.472,0.998,Выше среднего,21975.975,4357901.559642391,13.074,16.348728813559323,9232842.287377948,-329.2807180800001
9349,323.3179504219896,9305.741,901.076,58.585,1.16,0.989,Сильный,51869.042,16486980.051212255,21.857999999999997,10.643586206896552,14212913.837251944,4185.548201279999
5427,141.5649820794916,6642.099,468.577,8.163,0.093,0.973,Слабый,763.532,105930.8110503703,7.144,,1139040.97903624,-177.673701816
10451,145.21875905537163,7056.224,572.545,11.779,0.233,0.994,Ниже среднего,8496.259,1216297.868813147,8.862,19.871072961373393,5220162.5270950515,-337.50940293000014
6792,280.4428552426127,9118.198,835.137,44.848,0.888,0.979,Сильный,39666.458,10937760.446801439,18.758,12.165810810810811,12317297.80045207,1651.335319247999
8400,162.04963225746872,7758.696,625.419,16.501,0.327,0.985,Ниже среднего,14948.088,2385462.955120326,10.494,18.878532110091744,7294993.746545339,-379.46290357800007
11545,323.3085256440289,9293.59,911.182,59.749,1.183,0.999,Сильный,51867.814999999995,16486023.219240898,22.241,10.436652578191039,13935776.178563735,4609.231645746
10824,280.4370956560811,9113.243,817.899,43.763,0.866,0.996,Сильный,39677.422,10940514.615712047,18.719,12.474872979214782,12633388.701746013,1327.636351946
6390,143.0975556956678,6650.96,468.875,2.153,0.091,0.977,Слабый,1004.608,141342.03488239335,7.196999999999999,16.95956043956044,1553209.174531795,-174.94737487499998
6322,201.5129578150472,8468.93,717.056,25.725,0.509,0.977,Выше среднего,21978.296000000002,4358280.336928615,13.325,15.160314341846757,8562436.811254647,-128.48625919999972
