,Гармония Бессмертия
9653,0.981
2269,0.993
11461,1.0
9349,0.999
5427,0.98
10451,0.992
6792,0.975
8400,0.998
11545,0.983
10824,0.981
6390,0.983
6322,0.975
611,0.99
3679,0.993
2114,0.975
4635,0.996
5733,0.988
5993,0.99
3753,0.976
3166,0.988
2602,0.978
6663,0.987
511,0.979
8343,0.992
7433,0.994
3015,0.998
4250,0.979
8410,0.999
6725,0.994
8900,0.975
9968,0.99
520,0.98
8610,0.995
11654,0.995
11269,0.979
6092,0.975
3955,0.998
11114,0.987
5653,0.979
6417,0.986
8349,0.992
11824,0.988
11280,0.98
3989,0.976
1109,0.994
11454,0.999
7247,1.0
1038,0.986
10827,0.982
20,0.977
5431,0.98
4226,0.976
6349,0.978
5922,0.983
4606,0.992
934,1.0
5100,0.995
10775,0.976
7417,0.993
9922,0.985
394,0.992
8207,0.976
6032,0.995
1737,0.986
2165,0.981
561,0.985
3069,0.978
7366,0.987
10998,0.975
9471,0.987
1162,1.0
6074,0.999
4411,0.997
1729,0.985
1527,0.988
4929,0.976
842,0.99
2930,0.988
7450,0.996
58,0.981
5245,0.985
2865,0.981
3846,0.986
6486,0.993
2291,0.995
6022,0.994
83,0.984
5236,0.984
11184,0.995
1945,0.983
1649,0.976
10544,0.976
11352,0.988
2724,0.991
7501,0.976
8346,0.992
414,0.995
5267,0.988
11333,0.986
2450,0.987
10684,0.992
9952,0.988
11163,0.993
5857,0.975
10896,0.989
7401,0.991
7850,0.989
7528,0.979
11342,0.987
2907,0.986
11446,0.998
10246,0.995
3538,0.978
2133,0.978
1897,0.977
7578,0.985
6482,0.993
8786,0.989
4742,0.981
9251,0.988
9113,0.999
9101,0.998
1817,0.994
11648,0.995
1937,0.982
337,0.986
5531,0.991
2335,1.0
4474,0.978
2072,0.997
5503,0.988
1726,0.984
8399,0.998
1047,0.987
5216,0.982
9706,0.987
2815,0.975
4808,0.989
9578,0.999
2320,0.998
5282,0.989
8639,0.998
7168,0.991
3386,0.987
8457,0.978
8118,0.993
766,0.982
2861,0.98
4969,0.981
3971,1.0
1144,0.998
9842,0.976
10681,0.991
2510,0.993
5332,0.995
2273,0.993
7001,0.998
6703,0.991
11193,0.996
7607,0.988
8451,0.978
9894,0.982
102,0.986
1989,0.988
4256,0.979
8655,1.0
8018,0.981
828,0.989
8699,0.979
11517,0.98
1672,0.978
5872,0.977
9040,0.991
4335,0.988
8204,0.976
5169,0.977
2856,0.98
10154,0.985
1808,0.993
6182,0.985
2275,0.993
3761,0.976
8055,0.986
7541,0.98
11780,0.983
2045,0.994
9277,0.991
4862,0.995
4464,0.977
1295,0.988
11507,0.979
591,0.988
6286,0.997
221,0.999
7828,0.986
8057,0.986
7018,1.0
6323,0.975
858,0.992
3941,0.996
4924,0.976
7700,0.998
6678,0.989
841,0.99
11758,0.981
7403,0.991
8449,0.977
5598,0.999
9216,0.985
3703,0.996
994,0.981
6277,0.996
11067,0.982
1554,0.991
4622,0.994
7957,0.975
3772,0.978
5514,0.989
11237,0.975
6967,0.995
6586,0.978
3559,0.98
2848,0.979
7146,0.989
10175,0.987
3827,0.984
2513,0.994
8675,0.976
1463,0.981
10425,0.989
6369,0.98
6507,0.996
4640,0.996
2835,0.978
7484,1.0
6745,0.996
2233,0.989
3050,0.975
9558,0.997
10982,0.999
400,0.993
7405,0.991
4830,0.991
11714,0.976
6137,0.98
8128,0.994
4918,0.975
5398,0.976
8265,0.983
1023,0.984
3298,0.977
8379,0.996
4403,0.996
59,0.981
4773,0.985
4397,0.995
5700,0.984
6671,0.988
7495,0.975
1328,0.992
10690,0.992
3351,0.983
4934,0.977
168,0.993
3279,0.975
10960,0.996
11187,0.996
5412,0.978
7685,0.996
1550,0.991
1009,0.983
9059,0.993
2554,0.998
7007,0.999
1612,0.998
2737,0.993
3455,0.994
5888,0.979
6282,0.997
8284,0.985
648,0.995
6001,0.991
2862,0.981
879,0.994
4549,0.986
3837,0.985
11042,0.979
2303,0.996
6189,0.986
1624,0.999
550,0.984
11841,0.99
8968,0.983
6632,0.983
4995,0.984
4317,0.986
6075,1.0
211,0.998
9972,0.991
5620,0.975
9572,0.998
3232,0.996
7517,0.978
7017,1.0
3543,0.978
68,0.982
1438,0.978
2515,0.994
2868,0.981
8583,0.992
6510,0.996
10017,0.996
696,1.0
8681,0.977
4502,0.981
8839,0.995
9162,0.979
8447,0.977
10051,0.999
1314,0.991
9622,0.978
10959,0.996
8852,0.996
9585,1.0
10726,0.996
12,0.976
772,0.982
818,0.987
11219,0.999
8651,1.0
1346,0.994
10319,0.977
453,0.999
10547,0.976
11656,0.996
1656,0.977
3457,0.995
5524,0.99
10419,0.988
9388,0.978
37,0.979
6175,0.985
9940,0.987
1043,0.986
2908,0.986
6438,0.988
940,0.975
4271,0.981
6379,0.981
9896,0.982
9252,0.989
9870,0.979
5070,0.992
11171,0.994
7087,0.982
538,0.982
11715,0.976
5785,0.993
1400,1.0
5824,0.998
10628,0.985
30,0.978
2267,0.992
10332,0.979
7937,0.998
4395,0.995
3677,0.993
2470,0.989
7614,0.989
8267,0.983
11646,0.995
9493,0.989
8719,0.981
5386,0.975
1092,0.992
266,0.978
1108,0.994
9133,0.975
10791,0.978
3229,0.995
11819,0.988
6903,0.988
9666,0.983
3319,0.979
6717,0.993
1739,0.986
230,1.0
10212,0.991
898,0.996
9941,0.987
7060,0.979
11603,0.99
9441,0.984
7457,0.997
4705,0.977
10443,0.991
1563,0.992
10338,0.979
5145,1.0
3071,0.978
9294,0.993
11692,1.0
6858,0.983
3433,0.992
10042,0.998
9457,0.985
10665,0.99
11063,0.982
