Вектор Мощи,Скорость перехода через портал,Приток Силы Потока,Ритм магического ядра,Поток Энергий,Сила Левого Потока,Сила Правого Потока,Пламя Стихий,Приток давления Выдоха Истока,Давление выдоха Истока,Печать Чародея,Эмульсия Истока,Дыхание Истока,Тип Вектора Мощи
6.175,9.25992,29761.608,241.5721387792564,8790.141,246.015,246.015,772.24,2.515,13.347,34.254,0.678,0.991,2
2.088,3.08664,3152.42,141.59105729851638,6838.435,23.699,23.699,517.051,1.206,6.466,16.754,0.156,0.959,0
5.14,7.7166,21625.519,201.51662300647635,8471.841,175.228,175.228,682.64,2.087,10.987,23.849,0.472,0.998,2
8.206,12.34656,50993.086,323.3179504219896,9305.741,437.978,437.978,901.076,3.586,18.272,58.585,1.16,0.989,3
1.138,12.34656,748.284,141.5649820794916,6642.099,7.624,7.624,468.577,1.115,6.029,8.163,0.093,0.973,0
3.144,4.6299600000000005,8375.625,145.21875905537163,7056.224,60.317,60.317,572.545,1.392,7.47,11.779,0.233,0.994,1
7.148,10.80324,39001.744,280.4428552426127,9118.198,332.357,332.357,835.137,2.983,15.775,44.848,0.888,0.979,3
4.161,6.17328,14720.57,162.04963225746872,7758.696,113.759,113.759,625.419,1.66,8.834,16.501,0.327,0.985,1
8.206,12.34656,50991.613,323.3085256440289,9293.59,438.101,438.101,911.182,3.606,18.635,59.749,1.183,0.999,3
7.148,10.80324,39012.366,280.4370956560811,9113.243,332.528,332.528,817.899,2.991,15.728,43.763,0.866,0.996,3
1.138,1.54332,987.732,143.0975556956678,6650.96,8.438,8.438,468.875,1.126,6.071,2.153,0.091,0.977,0
5.14,7.7166,21627.792,201.5129578150472,8468.93,175.252,175.252,717.056,2.087,11.238,25.725,0.509,0.977,2
9.3,13.88988,72774.135,372.847986039221,9787.677,644.791,644.791,1100.103,4.482,22.416,90.816,1.798,0.952,3
8.206,12.34656,50994.425,323.3250713653378,9316.466,438.029,438.029,923.252,3.572,18.306,60.105,1.19,0.965,3
9.3,12.34656,72761.595,372.842750051465,9767.803,645.013,645.013,1105.254,4.509,22.87,91.846,1.818,0.959,3
1.138,1.54332,6016.284,138.88886873740867,6679.81,6.245,6.245,626.647,1.285,6.918,27.628,0.296,0.969,0
1.138,1.54332,698.211,139.17224039476247,6644.226,6.34,6.34,472.465,1.111,5.976,18.87,0.108,0.974,0
9.3,13.88988,72772.111,372.8456822046084,9761.745,644.794,644.794,1073.816,4.511,22.566,89.006,1.762,0.975,3
1.138,1.54332,761.647,142.77721796475677,6654.782,8.314,8.314,470.147,1.117,6.055,1.952,0.088,0.966,0
8.206,12.34656,50994.825,323.3268516011748,9315.543,438.02,438.02,929.783,3.574,18.401,60.665,1.201,0.963,3
2.088,3.08664,4871.756,140.77581400490982,6791.189,22.348,22.348,580.269,1.261,6.874,23.922,0.232,0.961,0
4.161,6.17328,14720.773,162.04931809820337,7752.581,113.746,113.746,637.91,1.661,8.925,17.084,0.338,0.978,1
8.206,12.34656,50997.711,323.3343914235434,9318.804,438.108,438.108,946.581,3.574,18.553,61.972,1.227,0.952,3
1.138,1.54332,6634.121,144.6331661847425,6670.771,9.285,9.285,623.619,1.319,7.107,1.55,0.279,0.985,0
9.3,13.88988,72774.731,372.844530287302,9758.458,644.9,644.9,1063.792,4.514,22.499,88.128,1.745,0.981,3
1.138,12.34656,323.11,140.4554762739988,6703.409,7.044,7.044,449.619,1.096,5.832,9.462,0.075,0.962,0
3.144,12.34656,8377.42,145.21991097267795,7080.925,60.333,60.333,594.366,1.39,7.553,12.644,0.25,0.968,1
5.14,7.7166,21629.561,201.51662300647635,8482.99,175.29,175.29,690.033,2.083,10.979,24.206,0.479,0.985,2
3.144,4.6299600000000005,8377.303,145.2201204121882,7096.631,60.327,60.327,577.913,1.39,7.449,11.974,0.237,0.978,1
9.3,13.88988,72756.117,372.8400273378319,9733.701,644.673,644.673,1072.82,4.545,23.06,89.598,1.774,0.988,3
6.175,9.25992,29762.342,241.565646154439,8798.209,245.946,245.946,761.929,2.512,13.226,33.579,0.665,0.992,2
8.206,12.34656,50997.826,323.3353339013395,9319.169,438.149,438.149,945.543,3.573,18.532,61.875,1.225,0.952,3
7.148,10.80324,38996.259,280.4470440328176,9124.953,332.362,332.362,810.222,2.976,15.457,42.983,0.851,0.986,3
9.3,13.88988,72771.419,372.8430642107304,9739.675,644.852,644.852,1043.666,4.535,22.59,86.655,1.715,0.999,3
2.088,3.08664,2839.233,143.16876512914916,6727.382,26.369,26.369,494.706,1.201,6.503,7.735,0.125,0.998,0
9.3,12.34656,72759.061,372.8415981341586,9747.66,644.969,644.969,1085.938,4.53,22.981,90.524,1.792,0.976,3
5.14,7.7166,21635.262,201.51714660525192,8500.166,175.323,175.323,700.686,2.077,10.961,24.708,0.489,0.966,2
9.3,13.88988,72765.215,372.8417028539138,9734.69,644.87,644.87,1052.631,4.542,22.791,87.638,1.735,0.997,3
2.088,3.08664,2833.16,143.18143621951864,6779.081,26.417,26.417,504.216,1.2,6.497,8.113,0.132,0.974,0
1.138,1.54332,4863.595,147.49609956995886,6689.458,10.949,10.949,580.119,1.272,6.858,0.0,0.219,0.977,0
7.148,10.80324,38997.012,280.446625153797,9123.923,332.31,332.31,813.845,2.977,15.504,43.256,0.856,0.985,3
8.206,12.34656,50992.885,323.31575130713213,9295.22,438.098,438.098,905.274,3.603,18.536,59.22,1.172,1.0,3
4.161,6.17328,14716.889,162.04774730187654,7695.209,113.725,113.725,635.12,1.666,9.007,17.022,0.337,0.998,1
3.144,4.6299600000000005,8377.267,145.21980625292284,7075.521,60.331,60.331,597.276,1.391,7.575,12.762,0.253,0.967,1
3.144,4.6299600000000005,8380.731,145.22179592827013,7151.689,60.38,60.38,588.641,1.387,7.438,12.376,0.245,0.954,1
7.148,10.80324,39002.908,280.4451590772253,9121.32,332.425,332.425,798.679,2.981,15.43,42.252,0.837,0.998,3
3.144,4.6299600000000005,8378.076,145.2202251319433,7107.43,60.344,60.344,572.378,1.389,7.407,11.744,0.232,0.98,1
4.161,6.17328,14724.714,162.0506794550199,7805.459,113.8,113.8,649.775,1.656,8.911,17.566,0.348,0.954,1
1.138,1.54332,3379.291,145.0112045007245,6625.633,9.485,9.485,536.418,1.219,6.595,5.452,0.174,0.996,0
3.144,4.6299600000000005,8379.456,145.22106288998427,7116.987,60.356,60.356,604.338,1.389,7.559,13.018,0.258,0.95,1
5.14,7.7166,21630.07,201.513690853333,8477.183,175.236,175.236,714.242,2.084,11.174,25.537,0.505,0.973,2
6.175,9.25992,29763.41,241.57946916211483,8809.069,245.999,245.999,789.591,2.507,13.372,35.198,0.697,0.968,2
5.14,7.7166,21628.432,201.5133766940676,8471.624,175.262,175.262,714.108,2.086,11.203,25.555,0.506,0.977,2
1.138,1.54332,1950.266,146.5636748703734,6678.129,10.39,10.39,496.219,1.168,6.296,0.0,0.119,0.975,0
8.206,12.34656,50994.299,323.3243383270519,9313.822,438.05,438.05,921.548,3.576,18.341,60.041,1.189,0.969,3
8.206,12.34656,50994.433,323.3271657604401,9326.051,438.074,438.074,924.51,3.557,18.119,59.93,1.186,0.953,3
7.148,10.80324,38986.531,280.4483006698789,9132.141,332.247,332.247,820.013,2.966,15.408,43.512,0.862,0.971,3
3.144,4.6299600000000005,8373.675,145.2169788195346,7011.825,60.287,60.287,584.303,1.394,7.588,12.281,0.243,0.996,1
2.088,3.08664,5651.848,145.95012182512735,6815.582,31.417,31.417,565.14,1.299,6.959,0.0,0.207,0.981,0
5.14,7.7166,21624.911,201.51410973235343,8463.987,175.254,175.254,699.649,2.089,11.146,24.811,0.491,0.992,2
8.206,12.34656,50996.795,323.3342867037883,9324.072,438.121,438.121,933.993,3.562,18.275,60.767,1.203,0.951,3
9.3,13.88988,72758.088,372.8405509366074,9738.109,645.033,645.033,1075.162,4.54,23.013,89.719,1.776,0.985,3
3.144,4.6299600000000005,8378.193,145.2203298516984,7105.961,60.342,60.342,578.45,1.389,7.44,11.991,0.237,0.975,1
