iter	Passed	Remaining
0	2	797
1	5	773
2	7	760
3	10	761
4	12	765
5	15	762
6	18	754
7	19	724
8	22	715
9	23	692
10	25	672
11	27	669
12	29	658
13	31	649
14	33	642
15	35	631
16	37	627
17	39	621
18	41	615
19	43	613
20	45	606
21	47	600
22	49	597
23	51	593
24	53	593
25	55	589
26	57	584
27	60	583
28	61	578
29	63	574
30	65	571
31	67	567
32	70	567
33	72	564
34	73	560
35	76	558
36	78	554
37	79	550
38	81	548
39	84	546
40	86	544
41	88	542
42	90	538
43	92	537
44	94	533
45	96	530
46	98	528
47	99	524
48	101	522
49	103	519
50	105	517
51	108	515
52	109	512
53	111	509
54	113	507
55	115	504
56	117	502
57	119	500
58	121	497
59	123	494
60	125	492
61	127	489
62	129	487
63	131	484
64	133	482
65	135	480
66	137	477
67	138	474
68	141	472
69	142	469
70	144	466
71	146	464
72	148	461
73	150	459
74	152	457
75	154	454
76	156	452
77	158	450
78	160	447
79	162	446
80	164	443
81	165	440
82	167	438
83	169	436
84	171	433
85	173	432
86	175	430
87	177	428
88	180	427
89	182	424
90	184	423
91	186	420
92	188	419
93	190	417
94	192	414
95	194	413
96	196	411
97	198	408
98	200	407
99	202	404
100	204	402
101	206	400
102	208	398
103	210	396
104	212	394
105	214	392
106	216	390
107	218	387
108	219	385
109	222	383
110	224	381
111	226	379
112	228	377
113	230	375
114	232	373
115	234	371
116	236	369
117	238	367
118	240	365
119	242	363
120	244	361
121	246	359
122	248	357
123	250	355
124	252	353
125	254	351
126	256	349
127	258	346
128	260	345
129	262	342
130	264	340
131	266	338
132	267	336
133	269	334
134	271	332
135	273	329
136	275	327
137	277	325
138	279	323
139	281	321
140	283	319
141	284	316
142	286	315
143	288	312
144	290	310
145	292	308
146	294	306
147	296	304
148	298	302
149	300	300
150	302	298
151	304	296
152	306	294
153	308	292
154	310	290
155	312	288
156	314	286
157	316	284
158	318	282
159	320	280
160	321	277
161	324	276
162	325	273
163	327	271
164	329	269
165	331	267
166	333	265
167	335	263
168	337	261
169	339	259
170	341	257
171	343	255
172	345	253
173	347	251
174	349	249
175	351	247
176	353	245
177	355	243
178	357	241
179	359	239
180	361	237
181	363	235
182	365	233
183	367	231
184	369	229
185	371	227
186	373	225
187	375	223
188	377	221
189	379	219
190	381	217
191	384	216
192	385	213
193	387	211
194	389	209
195	391	207
196	393	205
197	395	203
198	397	201
199	399	199
200	401	197
201	403	195
202	405	193
203	407	191
204	409	189
205	411	187
206	413	185
207	415	183
208	416	181
209	418	179
210	421	177
211	422	175
212	424	173
213	426	171
214	428	169
215	430	167
216	432	165
217	434	163
218	435	161
219	437	159
220	439	157
221	441	155
222	443	153
223	445	151
224	447	149
225	449	147
226	451	145
227	453	143
228	455	141
229	457	139
230	459	137
231	461	135
232	463	133
233	465	131
234	467	129
235	469	127
236	471	125
237	472	123
238	475	121
239	476	119
240	478	117
241	480	115
242	482	113
243	484	111
244	486	109
245	488	107
246	490	105
247	492	103
248	494	101
249	496	99
250	498	97
251	500	95
252	502	93
253	504	91
254	506	89
255	508	87
256	510	85
257	512	83
258	514	81
259	516	79
260	518	77
261	520	75
262	522	73
263	524	71
264	526	69
265	528	67
266	530	65
267	531	63
268	533	61
269	535	59
270	537	57
271	539	55
272	541	53
273	543	51
274	545	49
275	547	47
276	549	45
277	551	43
278	553	41
279	555	39
280	557	37
281	558	35
282	560	33
283	562	31
284	564	29
285	566	27
286	568	25
287	570	23
288	572	21
289	574	19
290	576	17
291	578	15
292	580	13
293	582	11
294	584	9
295	585	7
296	587	5
297	589	3
298	591	1
299	593	0
